"Genus","Interval","Interval_Top","Ex","Or","ExClass","OrClass","richness","occupancy","Single_occurrence","continents","endemic","MaxLat","MinLat","MinLatRel","MaxLatRel","LatRange","LatRangeRel","AbsLatRange","MeanAbsLat","MeanDepth","MaxDepth","MinDepth","DepthRange","Age","gcd","Order","Family","Pedicle.state","Median.Comm.Rich","Mean.Loc.Depth","MaxLatRange.ever","Prop.Cratonic","North.Hemisphere","Prop.North","PropTrunc","Num_Intervals","IH Spec. Richness","GH Spec. Richness","IH.Num.Inhabitable","GH.Num.Inhabitable","cooling.latrange","cooling.start.latrange","warming.latrange","warming.start.latrange","IH.MaxTemp","IH.MinTemp","IH.TempRange","GH.MaxTemp","GH.MinTemp","GH.TempRange"
"Quondongia",2,453,0,0,"survive","holdover",1,1,1,1,1,14,10,10,14,0,4,4,12,3,5,1,4,4,10,"Strophomenida","Strophomenidae",-Inf,25,3.54,4,0,1,1,0,5,0,0,0,0,0,4,0,4,27.21666667,27.21666667,1.63333334,31.08333333,31.08333333,2.16666666
"Quondongia",3,449,0,0,"survive","holdover",1,1,1,1,1,14,10,10,14,0,4,4,12,3,5,1,4,8,10,"Strophomenida","Strophomenidae",-Inf,56,3.72321428571429,4,0,1,1,1,5,0,0,0,0,0,4,0,4,27.21666667,27.21666667,1.63333334,31.08333333,31.08333333,2.16666666
"Quondongia",6,447.5,0,0,"survive","holdover",1,1,1,1,1,14,10,10,14,0,4,4,12,3,5,1,4,9.5,10,"Strophomenida","Strophomenidae",-Inf,21,3.92857142857143,4,0,1,1,0,5,0,0,0,0,0,4,0,4,27.21666667,27.21666667,1.63333334,31.08333333,31.08333333,2.16666666
"Quondongia",7,447.2,1,0,"extinct","holdover",1,1,1,1,1,14,10,10,14,0,4,4,12,3,5,1,4,9.80000000000001,10,"Strophomenida","Strophomenidae",-Inf,13,3.80769230769231,4,0,1,1,1,5,0,0,0,0,0,4,0,4,27.21666667,27.21666667,1.63333334,31.08333333,31.08333333,2.16666666
"Rafinesquina",1,457,0,1,"survive","origination",9,4,0,2,0,61,10,-61,-10,51,51,51,25,3.45454545454545,5,2,3,0,6722.19380374301,"Strophomenida","Rafinesquinidae",-Inf,10,3.60920071038625,51,0.636363636363636,0,0,0.181818181818182,21,4,0,1,0,12,51,0,80,27.25,1.0375,4.65,31.08333333,9.8375,6.508333333
"Rafinesquina",10,446.3,0,0,"survive","holdover",1,3,0,2,0,42,21,-42,-21,21,21,21,32,3.5,5,2,3,10.7,6499.18135120929,"Strophomenida","Rafinesquinidae",-Inf,29.5,3.79197994987469,21,0.5,0,0,0,21,1,1,2,1,33,21,19,21,25.7625,10.991666667,9.591666667,28.5625,16.99166667,9.59166667
"Rafinesquina",11,446,0,0,"survive","holdover",2,3,0,2,0,42,20,-42,-20,22,22,22,28,3.5,5,2,3,11,6499.18135120929,"Strophomenida","Rafinesquinidae",-Inf,3,3.65497076023392,22,0.666666666666667,0,0,0.333333333333333,21,2,1,2,1,33,22,19,22,26,10.991666667,9.591666667,28.66666667,16.99166667,9.59166667
"Rafinesquina",12,445.6,0,0,"survive","holdover",1,3,0,2,0,42,21,-42,-21,21,21,21,32,3.5,5,2,3,11.4,6499.18135120929,"Strophomenida","Rafinesquinidae",-Inf,19.5,3.81578947368421,21,0.5,0,0,0.5,21,1,1,2,1,33,21,19,21,25.7625,10.991666667,9.591666667,28.5625,16.99166667,9.59166667
"Rafinesquina",13,444.6,0,0,"survive","holdover",4,3,0,3,0,68,2,-68,6,74,74,66,20,3.5,5,2,3,12.4,5333.54927944152,"Strophomenida","Rafinesquinidae",-Inf,9,3.4375,66,0,1,0.25,0,21,0,0,0,0,0,66,0,88,26.90833333,0.275,2.93333333,31.70833333,7.741666667,4.8
"Rafinesquina",14,443.7,0,0,"survive","holdover",4,5,0,3,0,68,2,-68,6,74,74,66,27,3.5,5,2,3,13.3,5333.54927944152,"Strophomenida","Rafinesquinidae",-Inf,12,3.40036231884058,66,0,1,0.166666666666667,1,21,2,2,1,1,20,66,19,88,26.90833333,0.275,9.591666667,31.70833333,7.741666667,9.59166667
"Rafinesquina",17,439,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,18,10,"Strophomenida","Rafinesquinidae",-Inf,10,3.1,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",18,438,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,19,10,"Strophomenida","Rafinesquinidae",-Inf,10,3.1,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",19,437,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,20,10,"Strophomenida","Rafinesquinidae",-Inf,6,3.16666666666667,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",2,453,0,0,"survive","holdover",3,6,0,3,0,83,12,-83,-12,71,71,71,44,3.5,5,2,3,4,6394.10087722227,"Strophomenida","Rafinesquinidae",-Inf,11,3.66282467532468,71,0.4,0,0,0.2,21,1,1,1,1,24,71,64,74,27.21666667,-0.2625,10.9,30.35,4.104166667,9.83333333
"Rafinesquina",20,436,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,21,10,"Strophomenida","Rafinesquinidae",-Inf,6,3.16666666666667,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",21,433.4,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,23.6,10,"Strophomenida","Rafinesquinidae",-Inf,6,3.16666666666667,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",22,430.8,0,0,"survive","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,26.2,10,"Strophomenida","Rafinesquinidae",-Inf,6,3.16666666666667,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",23,428.2,1,0,"extinct","holdover",1,1,1,1,1,65,61,-65,-61,0,4,4,63,3.5,5,2,3,28.8,10,"Strophomenida","Rafinesquinidae",-Inf,6,3.16666666666667,4,0,0,0,0,21,0,0,0,0,0,4,0,29,0.5375,0.5375,2.5375,8.404166667,8.404166667,5.258333334
"Rafinesquina",3,449,0,0,"survive","holdover",10,10,0,3,0,89,3,-89,7,96,96,86,33,3.5,5,2,3,8,7628.38789537614,"Strophomenida","Rafinesquinidae",-Inf,16,3.5800914759107,86,0.444444444444444,1,0.0555555555555556,0.944444444444444,21,3,1,2,2,26,85,48,87,27.21666667,-0.2625,21.23333333,31.70833333,4.104166667,18.96666667
"Rafinesquina",4,448.5,0,0,"survive","holdover",4,5,0,2,0,42,0,-42,4,46,46,42,18,3.375,5,2,3,8.5,6848.90509003797,"Strophomenida","Rafinesquinidae",-Inf,17.5,3.40507970647773,42,0.75,1,0.25,0,21,3,1,2,1,26,42,19,42,27.025,10.991666667,9.591666667,31.70833333,16.99166667,9.59166667
"Rafinesquina",5,448,0,0,"survive","holdover",3,4,0,2,0,42,0,-42,4,46,46,42,16,3.33333333333333,5,2,3,9,6848.90509003797,"Strophomenida","Rafinesquinidae",-Inf,19,3.28934314954052,42,0.666666666666667,1,0.333333333333333,0,21,2,1,2,1,25,42,19,42,27.025,10.991666667,9.591666667,31.70833333,16.99166667,9.59166667
"Rafinesquina",6,447.5,0,0,"survive","holdover",3,4,0,2,0,42,0,-42,4,46,46,42,22,3.375,5,2,3,9.5,6848.90509003797,"Strophomenida","Rafinesquinidae",-Inf,36,3.55294486215539,42,0.5,1,0.25,0,21,2,2,2,1,25,42,19,42,27.025,10.991666667,9.591666667,31.70833333,16.99166667,9.59166667
"Rafinesquina",7,447.2,0,0,"survive","holdover",2,4,0,2,0,42,0,-42,4,46,46,42,16,3.33333333333333,5,2,3,9.80000000000001,6848.90509003797,"Strophomenida","Rafinesquinidae",-Inf,21,3.43801739196476,42,0.666666666666667,1,0.333333333333333,0,21,1,1,2,1,25,42,19,42,27.025,10.991666667,9.591666667,31.70833333,16.99166667,9.59166667
"Rafinesquina",8,446.8,0,0,"survive","holdover",1,3,0,2,0,42,0,-42,4,46,46,42,21,3.25,5,2,3,10.2,5734.29077071819,"Strophomenida","Rafinesquinidae",-Inf,31.5,3.53797846889952,42,0.5,1,0.5,0,21,1,1,2,1,25,42,19,42,26.73333333,10.991666667,9.591666667,30.33333333,16.99166667,9.59166667
"Rafinesquina",9,446.5,0,0,"survive","holdover",1,4,0,2,0,42,0,-42,4,46,46,42,22,3.33333333333333,5,2,3,10.5,6499.18135120929,"Strophomenida","Rafinesquinidae",-Inf,19,3.51605972000709,42,0.666666666666667,1,0.333333333333333,0.333333333333333,21,1,1,2,2,33,29,46,42,26.73333333,10.991666667,9.591666667,30.33333333,16.99166667,9.59166667
"Rakverina",3,449,1,1,"extinct","origination",2,1,0,1,1,39,35,-39,-35,4,4,4,37,3.5,4,3,1,0,10,"Strophomenida","Strophomenidae",-Inf,18,3.11111111111111,4,1,0,0,0,1,2,2,1,1,2,4,24,4,14.5625,14.5625,12.275,19.89583333,19.89583333,11.60833333
"Ravozetina",10,446.3,0,0,"survive","holdover",4,5,0,3,0,43,0,-43,2,45,45,43,30,3.5,5,2,3,1.19999999999999,6746.50968637198,"Orthida","Dalmanellidae",-Inf,38,3.91266447368421,43,0,1,0.25,0,10,4,3,3,2,24,43,21,43,26.61666667,10.9125,9.729166667,29.41666667,16.9125,9.72916667
"Ravozetina",11,446,0,0,"survive","holdover",3,4,0,2,0,42,0,-42,2,44,44,42,27,3.5,5,2,3,1.5,2837.93704855888,"Orthida","Dalmanellidae",-Inf,38,3.93771929824561,42,0,1,0.333333333333333,0,10,3,2,2,1,24,42,19,42,26.61666667,10.991666667,9.591666667,29.41666667,16.99166667,9.59166667
"Ravozetina",12,445.6,0,0,"survive","holdover",3,4,0,2,0,42,0,-42,2,44,44,42,27,3.5,5,2,3,1.89999999999998,2837.93704855888,"Orthida","Dalmanellidae",-Inf,38,3.93771929824561,42,0,1,0.333333333333333,0,10,3,2,2,1,24,42,19,42,26.61666667,10.991666667,9.591666667,29.41666667,16.99166667,9.59166667
